user,date,amount,merchant
ogrenci1@uni.edu,2025-05-25,36.75,kitap
ogrenci1@uni.edu,2025-05-25,119.9,Netflix
ogrenci1@uni.edu,2025-05-25,59.9,Spotify
ogrenci1@uni.edu,2025-05-26,67.68,market
ogrenci1@uni.edu,2025-05-29,143.92,market
ogrenci1@uni.edu,2025-05-30,92.82,giyim
ogrenci1@uni.edu,2025-05-31,83.69,kirtasiye
ogrenci1@uni.edu,2025-06-02,151.29,kitap
ogrenci1@uni.edu,2025-06-04,247.57,kirtasiye
ogrenci1@uni.edu,2025-06-05,105.03,kafe
ogrenci1@uni.edu,2025-06-07,55.04,market
ogrenci1@uni.edu,2025-06-08,122.87,kitap
ogrenci1@uni.edu,2025-06-11,292.74,ulasim
ogrenci1@uni.edu,2025-06-12,109.16,kirtasiye
ogrenci1@uni.edu,2025-06-13,262.66,giyim
ogrenci1@uni.edu,2025-06-14,48.78,kirtasiye
ogrenci1@uni.edu,2025-06-15,108.13,market
ogrenci1@uni.edu,2025-06-18,152.42,kitap
ogrenci1@uni.edu,2025-06-19,125.92,kirtasiye
ogrenci1@uni.edu,2025-06-20,282.9,kirtasiye
ogrenci1@uni.edu,2025-06-21,201.44,giyim
ogrenci1@uni.edu,2025-06-23,132.45,kirtasiye
ogrenci1@uni.edu,2025-06-24,119.9,Netflix
ogrenci1@uni.edu,2025-06-24,59.9,Spotify
ogrenci1@uni.edu,2025-06-25,117.56,market
ogrenci1@uni.edu,2025-06-26,38.67,kitap
ogrenci1@uni.edu,2025-06-27,47.87,giyim
ogrenci1@uni.edu,2025-06-29,206.97,ulasim
ogrenci1@uni.edu,2025-07-01,68.58,kafe
ogrenci1@uni.edu,2025-07-02,181.57,kitap
ogrenci1@uni.edu,2025-07-04,187.55,kitap
ogrenci1@uni.edu,2025-07-05,299.34,giyim
ogrenci1@uni.edu,2025-07-06,234.06,market
ogrenci1@uni.edu,2025-07-07,73.2,kirtasiye
ogrenci1@uni.edu,2025-07-08,47.15,ulasim
ogrenci1@uni.edu,2025-07-09,156.37,kitap
ogrenci1@uni.edu,2025-07-12,224.59,kirtasiye
ogrenci1@uni.edu,2025-07-16,109.25,kafe
ogrenci1@uni.edu,2025-07-17,287.53,kirtasiye
ogrenci1@uni.edu,2025-07-18,165.16,kafe
ogrenci1@uni.edu,2025-07-19,58.73,kirtasiye
ogrenci1@uni.edu,2025-07-20,202.52,giyim
ogrenci1@uni.edu,2025-07-21,130.96,kafe
ogrenci1@uni.edu,2025-07-22,240.23,giyim
ogrenci1@uni.edu,2025-07-24,161.92,market
ogrenci1@uni.edu,2025-07-24,119.9,Netflix
ogrenci1@uni.edu,2025-07-24,59.9,Spotify
ogrenci1@uni.edu,2025-07-28,45.64,giyim
ogrenci1@uni.edu,2025-07-30,161.22,market
ogrenci1@uni.edu,2025-08-01,63.96,kirtasiye
ogrenci1@uni.edu,2025-08-02,178.45,kitap
ogrenci1@uni.edu,2025-08-03,193.78,kafe
ogrenci1@uni.edu,2025-08-08,211.36,kitap
ogrenci1@uni.edu,2025-08-09,169.75,market
ogrenci1@uni.edu,2025-08-10,47.29,market
ogrenci1@uni.edu,2025-08-11,92.13,kafe
ogrenci1@uni.edu,2025-08-12,221.12,market
ogrenci1@uni.edu,2025-08-13,274.46,kitap
ogrenci1@uni.edu,2025-08-14,94.26,kirtasiye
ogrenci1@uni.edu,2025-08-15,175.59,kirtasiye
ogrenci1@uni.edu,2025-08-17,157.62,ulasim
ogrenci1@uni.edu,2025-08-19,56.17,ulasim
ogrenci1@uni.edu,2025-08-20,141.0,kirtasiye
ogrenci1@uni.edu,2025-08-21,206.43,kirtasiye
ogrenci1@uni.edu,2025-08-22,138.71,kitap
ogrenci1@uni.edu,2025-08-23,119.9,Netflix
ogrenci1@uni.edu,2025-08-23,59.9,Spotify
ogrenci1@uni.edu,2025-08-24,81.73,giyim
ogrenci1@uni.edu,2025-08-25,143.91,kitap
ogrenci1@uni.edu,2025-08-26,266.11,market
ogrenci1@uni.edu,2025-08-27,262.56,giyim
ogrenci1@uni.edu,2025-08-28,206.08,giyim
ogrenci1@uni.edu,2025-09-02,161.12,kafe
ogrenci1@uni.edu,2025-09-05,30.58,ulasim
ogrenci1@uni.edu,2025-09-06,241.7,ulasim
ogrenci1@uni.edu,2025-09-07,218.08,kirtasiye
